Word,Morph1,Morph2,Pattern,Stress (1syl.2syl)
reefer,reef,er,Root+Affix,13
riddance,rid,ance,Root+Affix,13
righteous,right,eous,Root+Affix,13
rimy,rime,y,Root+Affix,13
riser,rise,er,Root+Affix,13
rocker,rock,er,Root+Affix,13
roguish,rogue,ish,Root+Affix,13
roller,roll,er,Root+Affix,13
rosette,rose,ette,Root+Affix,31
rotten,rot,en,Root+Affix,13
roughage,rough,age,Root+Affix,13
roughen,rough,en,Root+Affix,13
rover,rove,er,Root+Affix,13
ruler,rule,er,Root+Affix,13
runic,rune,ic,Root+Affix,13
runny,run,y,Root+Affix,13
sadden,sad,en,Root+Affix,13
sailor,sail,or,Root+Affix,13
sassy,sass,y,Root+Affix,13
saucy,sauce,y,Root+Affix,13
scenic,scene,ic,Root+Affix,13
scholar,school,ar,Root+Affix,13
seamy,seam,y,Root+Affix,13
seizure,seize,ure,Root+Affix,13
setter,set,er,Root+Affix,13
shaken,shake,en,Root+Affix,13
shutter,shut,er,Root+Affix,13
skipper,skip,er,Root+Affix,13
skittish,skit,ish,Root+Affix,13
slacken,slack,en,Root+Affix,13
slavish,slave,ish,Root+Affix,13
slicker,slick,er,Root+Affix,13
slipper,slip,er,Root+Affix,13
sloppy,slop,y,Root+Affix,13
sluggard,slug,ard,Root+Affix,13
smithy,smith,y,Root+Affix,13
sneaker,sneak,er,Root+Affix,13
snippy,snip,y,Root+Affix,13
soften,soft,en,Root+Affix,13
soggy,sog,y,Root+Affix,13
spacious,space,ious,Root+Affix,13
spatial,space,ial,Root+Affix,13
spheroid,sphere,oid,Root+Affix,12
spinal,spine,al,Root+Affix,13
spittle,spit,le,Root+Affix,13
splatter,splat,er,Root+Affix,13
spousal,spouse,al,Root+Affix,13
stagy,stage,y,Root+Affix,13
static,state,ic,Root+Affix,13
steerage,steer,age,Root+Affix,13
stocky,stock,y,Root+Affix,13
stodgy,stodge,y,Root+Affix,13
storage,store,age,Root+Affix,13
straighten,straight,en,Root+Affix,13
straiten,strait,en,Root+Affix,13
stringer,string,er,Root+Affix,13
stringy,string,y,Root+Affix,13
strophic,strophe,ic,Root+Affix,13
stuffy,stuff,y,Root+Affix,13
stylish,style,ish,Root+Affix,13
stylist,style,ist,Root+Affix,13
suitor,suit,or,Root+Affix,13
sweater,sweat,er,Root+Affix,13
sweeten,sweet,en,Root+Affix,13
tacky,tack,y,Root+Affix,13
tanner,tan,er,Root+Affix,13
tarry,tar,y,Root+Affix,13
tatter,tat,er,Root+Affix,13
thicken,thick,en,Root+Affix,13
thicket,thick,et,Root+Affix,13
thinner,thin,er,Root+Affix,13
threefold,three,fold,Root+Affix,12
tidal,tide,al,Root+Affix,13
tiller,till,er,Root+Affix,13
tinny,tin,y,Root+Affix,13
toady,toad,y,Root+Affix,13
tonal,tone,al,Root+Affix,13
tonnage,ton,age,Root+Affix,13
topple,top,le,Root+Affix,13
touchy,touch,y,Root+Affix,13
tourist,tour,ist,Root+Affix,13
treatise,treat,ise,Root+Affix,13
tribal,tribe,al,Root+Affix,13
tucker,tuck,er,Root+Affix,13
upper,up,er,Root+Affix,13
usage,use,age,Root+Affix,13
venous,vein,ous,Root+Affix,13
vicious,vice,ious,Root+Affix,13
voguish,vogue,ish,Root+Affix,13
wacky,whack,y,Root+Affix,13
wager,wage,er,Root+Affix,13
waggish,wag,ish,Root+Affix,13
waiver,waive,er,Root+Affix,13
waken,wake,en,Root+Affix,13
washer,wash,er,Root+Affix,13
wearer,wear,er,Root+Affix,13
whaler,whale,er,Root+Affix,13
whiten,white,en,Root+Affix,13
whitish,white,ish,Root+Affix,13
whopper,whop,er,Root+Affix,13
widen,wide,en,Root+Affix,13
wily,wile,y,Root+Affix,13
witty,wit,y,Root+Affix,13
woeful,woe,ful,Root+Affix,13
wooden,wood,en,Root+Affix,13
woolly,wool,y,Root+Affix,13
wrestle,wrest,le,Root+Affix,13
writer,write,er,Root+Affix,13
yummy,yum,y,Root+Affix,13
zealous,zeal,ous,Root+Affix,13
zipper,zip,er,Root+Affix,13
zonal,zone,al,Root+Affix,13
action,act,ion,Root+Affix,13
active,act,ive,Root+Affix,13
actor,act,or,Root+Affix,13
ailment,ail,ment,Root+Affix,13
artist,art,ist,Root+Affix,13
arty,art,y,Root+Affix,13
bandage,band,age,Root+Affix,13
barber,barb,er,Root+Affix,13
barker,bark,er,Root+Affix,13
bashful,bash,ful,Root+Affix,13
beatnik,beat,nik,Root+Affix,13
bestial,beast,ial,Root+Affix,13
birdie,bird,ie,Root+Affix,13
bondage,bond,age,Root+Affix,13
booklet,book,let,Root+Affix,13
cartage,cart,age,Root+Affix,13
casement,case,ment,Root+Affix,13
censer,cense,er,Root+Affix,13
cheerful,cheer,ful,Root+Affix,13
childish,child,ish,Root+Affix,13
cleanly,clean,ly,Root+Affix,13
clinker,clink,er,Root+Affix,13
clothier,clothe,ier,Root+Affix,13
