Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('T',)",haughty,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,19,True,True,0.7754046387452027,0.13074204946996465
"('T',)",haughty,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,2,True,True,0.22459536125479723,0.8692579505300353
"('T',)",haughty,X,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('N', 'T', 'L')",gently,XC,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True,0.6025674273858921,0.0
"('N', 'T', 'L')",gently,CX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,8,True,True,0.32002074688796683,0.0
"('N', 'T', 'L')",gently,CCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,13,True,True,0.07741182572614108,0.13603371575743387
"('N', 'T', 'L')",gently,CCCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.863966284242566
"('N', 'T', 'L')",gently,X,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True,,
"('R', 'M')",german,XC,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,0,True,True,0.9268049461507777,0.0
"('R', 'M')",german,CX,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,20,True,True,0.06840845632229756,0.20593931568754034
"('R', 'M')",german,CCX,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,1,True,True,0.004786597526924611,0.7940606843124597
"('R', 'M')",german,X,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('M', 'L')",gimlet,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True,0.8871706758304696,0.0
"('M', 'L')",gimlet,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,21,True,True,0.11282932416953037,0.13603371575743387
