Cluster,Syllabification,Prop Responses
,.N S T R,0.015182884833333332
,N.S T R,0.8657263628333333
,N S.T R,0.1118443755
,N S T.R,0.007246376833333333
,?.?,0.0
K SH,,
,.K SH,0.0962168266
,K.SH,0.8899115378
,K SH.,0.013871635599999998
,?.?,0.0
K S P R,,
,.K S P R,0.04761904795238094
,K.S P R,0.38095238061904757
,K S.P R,0.5238095234761905
,K S P.R,0.04761904795238094
,?.?,0.0
L S T,,
,.L S T,0.0
,L.S T,0.9545454549772728
,L S.T,0.022727272511363635
,L S T.,0.0
,?.?,0.022727272511363635
R G,,
,.R G,0.006840985078501766
,R.G,0.927333536214
,R G.,0.05548799016665107
,?.?,0.010337488540847112
R T R,,
,.R T R,0.0
,R.T R,0.9096869313333333
,R T.R,0.09031306866666666
,R T R.,0.0
,?.?,0.0
K S T R,,
,.K S T R,0.010869565250000001
,K.S T R,0.40887916425
,K S.T R,0.5109401467500001
,K S T.R,0.05740636175
,?.?,0.011904762000000001
G M,,
,.G M,0.050444925333333335
,G.M,0.9449254450000001
,G M.,0.0
,?.?,0.004629629666666666
G R,,
,.G R,0.8875149006666666
,G.R,0.1124850993333333
,G R.,0.0
,?.?,0.0
K R,,
,.K R,0.8894264496363636
,K.R,0.11057355036363638
,K R.,0.0
,?.?,0.0
K W,,
,.K W,0.7764251945425631
,K.W,0.17473787934266244
,K W.,0.0488369261147743
,?.?,0.0
G N,,
,.G N,0.07651044599999998
,G.N,0.9234895540000001
,G N.,0.0
,?.?,0.0
M S,,
,.M S,0.0273103708
,M.S,0.9354225483999998
,M S.,0.0372670808
,?.?,0.0
P S K,,
,.P S K,0.023809524
,P.S K,0.952380952
,P S.K,0.023809524
,P S K.,0.0
,?.?,0.0
V R,,
,.V R,0.8095238091904763
,V.R,0.14285714285714288
,V R.,0.0
,?.?,0.047619047952380957
G W,,
,.G W,0.333333333
,G.W,0.666666667
,G W.,0.0
,?.?,0.0
K B,,
,.K B,0.0
,K.B,1.0
,K B.,0.0
,?.?,0.0
N F L,,
,.N F L,0.007936507998677247
,N.F L,0.9693048496717825
,N F.L,0.022758642329540228
,N F L.,0.0
,?.?,0.0
N K W,,
,.N K W,0.0
,N.K W,0.9523809525
,N K.W,0.0476190475
,N K W.,0.0
,?.?,0.0
N L,,
,.N L,0.02512704685714286
,N.L,0.968070232
,N L.,0.006802721142857142
,?.?,0.0
V Y,,
,.V Y,0.6218708826666667
,V.Y,0.37812911733333326
,V Y.,0.0
,?.?,0.0
N D S T,,
,.N D S T,0.0
,N.D S T,0.090909091
,N D.S T,0.8376623375000001
,N D S.T,0.0476190475
,?.?,0.023809524
N T L,,
,.N T L,0.0
,N.T L,0.19047619033333332
,N T.L,0.8095238096666666
,N T L.,0.0
,?.?,0.0
L P,,
,.L P,0.015873016
,L.P,0.9248384463333333
,L P.,0.05928853766666666
,?.?,0.0
D W,,
,.D W,0.054978355
,D.W,0.945021645
,D W.,0.0
,?.?,0.0
M D,,
,.M D,0.0
,M.D,1.0
,M D.,0.0
,?.?,0.0
R D L,,
,.R D L,0.0
,R.D L,0.333333333
,R D.L,0.666666667
,R D L.,0.0
,?.?,0.0
T F,,
,.T F,0.016798419
,T.F,0.977519762875
,T F.,0.005681818125
,?.?,0.0
S B,,
,.S B,0.052173912999999995
,S.B,0.9391304348
,S B.,0.008695652199999999
,?.?,0.0
S K W,,
,.S K W,0.0476190475
,S.K W,0.8830227745
,S K.W,0.06935817799999999
,S K W.,0.0
,?.?,0.0
M S T R,,
,.M S T R,0.0
,M.S T R,0.824016563
,M S.T R,0.1542443065
,M S T.R,0.0217391305
,?.?,0.0
R HH,,
,.R HH,0.015151514999999999
,R.HH,0.984848485
,R HH.,0.0
,?.?,0.0
NG,,
,.NG,0.05612412950000001
,NG.,0.932985719
,?.?,0.010890151500000002
N D HH,,
,.N D HH,0.015873015994708996
,N.D HH,0.1055900619648033
,N D.HH,0.8626639060457787
,N D HH.,0.0
,?.?,0.015873015994708996
S R,,
,.S R,0.0476190475
,S.R,0.9523809525
,S R.,0.0
,?.?,0.0
G HH,,
,.G HH,0.0
,G.HH,1.0
,G HH.,0.0
,?.?,0.0
B M,,
,.B M,0.06001003835333667
,B.M,0.8930924149643641
,B M.,0.04689754668229917
,?.?,0.0
R T S M,,
,.R T S M,0.0
,R.T S M,0.142857143
,R T.S M,0.142857143
,R T S.M,0.714285714
,?.?,0.0
NG TH,,
,.NG TH,0.0476190475
,NG.TH,0.6515151515
,NG TH.,0.300865801
,?.?,0.0
M S T,,
,.M S T,0.00869565220173913
,M.S T,0.9176359871835272
,M S.T,0.05505364201101072
,M S T.,0.018614718603722942
,?.?,0.0
R P,,
,.R P,0.01618671190909091
,R.P,0.9352873738181819
,R P.,0.04852591427272728
,?.?,0.0
T HH,,
,.T HH,0.0714285714642857
,T.HH,0.8593073590703463
,T HH.,0.06926406946536796
,?.?,0.0
M P Y,,
,.M P Y,0.0
,M.P Y,0.883116883
,M P.Y,0.116883117
,M P Y.,0.0
,?.?,0.0
S T L,,
,.S T L,0.05928853762714097
,S.T L,0.11995733758669512
,S T.L,0.804881108796746
,S T L.,0.01587301598941799
,?.?,0.0
L F L,,
,.L F L,0.0
,L.F L,0.238095238
,L F.L,0.761904762
,L F L.,0.0
,?.?,0.0
M B L,,
,.M B L,0.088336784
,M.B L,0.807453416
,M B.L,0.07522429266666665
,M B L.,0.02898550733333333
,?.?,0.0
K Y,,
,.K Y,0.7176795910000001
,K.Y,0.27507403216666665
,K Y.,0.007246376833333334
,?.?,0.0
T B,,
,.T B,0.0277056278
,T.B,0.9722943722
,T B.,0.0
,?.?,0.0
R JH,,
,.R JH,0.003496503461807423
,R.JH,0.9386944939952842
,R JH.,0.05096801746545907
,?.?,0.006840985077449306
L JH,,
,.L JH,0.0
,L.JH,0.9544513455
,L JH.,0.045548654499999994
,?.?,0.0
B R,,
,.B R,0.850700326404225
,B.R,0.13793603726149467
,B R.,0.011363636334280306
,?.?,0.0
N JH F,,
,.N JH F,0.0
,N.JH F,0.0
,N JH.F,1.0
,N JH F.,0.0
,?.?,0.0
R K HH,,
,.R K HH,0.047619048
,R.K HH,0.095238095
,R K.HH,0.857142857
,R K HH.,0.0
,?.?,0.0
R TH W,,
,.R TH W,0.0
,R.TH W,0.17741859575000002
,R TH.W,0.82258140425
,R TH W.,0.0
,?.?,0.0
T G,,
,.T G,0.04761904795238094
,T.G,0.904761904095238
,T G.,0.04761904795238094
,?.?,0.0
T N,,
,.T N,0.04496047425
,T.N,0.9317711275
,T N.,0.011904762
,?.?,0.01136363625
TH HH,,
,.TH HH,0.047619048
,TH.HH,0.952380952
,TH HH.,0.0
,?.?,0.0
N S F,,
,.N S F,0.0
,N.S F,0.233766234
,N S.F,0.766233766
,N S F.,0.0
,?.?,0.0
ZH M,,
,.ZH M,0.142857143
,ZH.M,0.857142857
,ZH M.,0.0
,?.?,0.0
M K,,
,.M K,0.023809524
,M.K,0.976190476
,M K.,0.0
,?.?,0.0
R SH,,
,.R SH,0.0
,R.SH,0.8883085511666667
,R SH.,0.11169144883333333
,?.?,0.0
R T N,,
,.R T N,0.0
,R.T N,0.068181818
,R T.N,0.931818182
,R T N.,0.0
,?.?,0.0
L P R,,
,.L P R,0.0
,L.P R,0.9307359305
,L P.R,0.0692640695
,L P R.,0.0
,?.?,0.0
B JH,,
,.B JH,0.044858523333333324
,B.JH,0.9399899616666666
,B JH.,0.015151514999999999
,?.?,0.0
TH W,,
,.TH W,0.27536231890821256
,TH.W,0.6811594201062803
,TH W.,0.028985507323671496
,?.?,0.014492753661835748
T K,,
,.T K,0.0
,T.K,1.0
,T K.,0.0
,?.?,0.0
T W,,
,.T W,0.21681488799999996
,T.W,0.7676728465
,T W.,0.015512265499999999
,?.?,0.0
R S P,,
,.R S P,0.0
,R.S P,0.761904762
,R S.P,0.238095238
,R S P.,0.0
,?.?,0.0
S W,,
,.S W,0.26551853925310365
,S.W,0.725390551745078
,S W.,0.0
,?.?,0.009090909001818182
R DH,,
,.R DH,0.011904762
,R.DH,0.90953792575
,R DH.,0.067193676
,?.?,0.01136363625
P N,,
,.P N,0.045548654499999994
,P.N,0.932712215
,P N.,0.0217391305
,?.?,0.0
T F L,,
,.T F L,0.047619048
,T.F L,0.952380952
,T F.L,0.0
,T F L.,0.0
,?.?,0.0
R Z M,,
,.R Z M,0.0
,R.Z M,0.095238095
,R Z.M,0.904761905
,R Z M.,0.0
,?.?,0.0
F B,,
,.F B,0.0
,F.B,1.0
,F B.,0.0
,?.?,0.0
B T R,,
,.B T R,0.0
,B.T R,1.0
,B T.R,0.0
,B T R.,0.0
,?.?,0.0
F Y,,
,.F Y,0.7449087144510183
,F.Y,0.24556747595088654
,F Y.,0.00952380959809524
,?.?,0.0
G T,,
,.G T,0.0
,G.T,1.0
,G T.,0.0
,?.?,0.0
M R,,
,.M R,0.057900432749999994
,M.R,0.930735931
,M R.,0.01136363625
,?.?,0.0
N K R,,
,.N K R,0.0217391305
,N.K R,0.9782608695
,N K.R,0.0
,N K R.,0.0
,?.?,0.0
K S P,,
,.K S P,0.019198193142857135
,K.S P,0.34709002171428566
,K S.P,0.621548224
,K S P.,0.012163561142857139
,?.?,0.0
P CH,,
,.P CH,0.0930735927732684
,P.CH,0.8717532469679383
,P CH.,0.035173160258793294
,?.?,0.0
CH F,,
,.CH F,0.047619048
,CH.F,0.952380952
,CH F.,0.0
,?.?,0.0
SH F,,
,.SH F,0.0
,SH.F,1.0
,SH F.,0.0
,?.?,0.0
N W,,
,.N W,0.02272727275
,N.W,0.97727272725
,N W.,0.0
,?.?,0.0
V S T,,
,.V S T,0.04761904795238094
,V.S T,0.904761904095238
,V S.T,0.04761904795238094
,V S T.,0.0
,?.?,0.0
L S T R,,
,.L S T R,0.0
,L.S T R,1.0
,L S.T R,0.0
,L S T.R,0.0
,?.?,0.0
F G,,
,.F G,0.0
,F.G,0.952380952
,F G.,0.047619048
,?.?,0.0
P K,,
,.P K,0.03463203475
,P.K,0.96536796525
,P K.,0.0
,?.?,0.0
L R,,
,.L R,0.0
,L.R,1.0
,L R.,0.0
,?.?,0.0
NG K W,,
,.NG K W,0.0
,NG.K W,0.9538239536666667
,NG K.W,0.04617604633333333
,NG K W.,0.0
,?.?,0.0
S K R,,
,.S K R,0.44559439120000005
,S.K R,0.44290476180000005
,S K.R,0.111500847
,S K R.,0.0
,?.?,0.0
D SH,,
,.D SH,0.0
,D.SH,1.0
,D SH.,0.0
,?.?,0.0
G L,,
,.G L,0.7138386975000001
,G.L,0.26442217200000007
,G L.,0.021739130500000002
,?.?,0.0
D HH,,
,.D HH,0.0208333335
,D.HH,0.931547619
,D HH.,0.0476190475
,?.?,0.0
D S T R,,
,.D S T R,0.0
,D.S T R,0.954545455
,D S.T R,0.045454545
,D S T.R,0.0
,?.?,0.0
T Y,,
,.T Y,0.681818182
,T.Y,0.136363636
,T Y.,0.0
,?.?,0.181818182
R T F,,
,.R T F,0.0
,R.T F,0.045454545
,R T.F,0.954545455
,R T F.,0.0
,?.?,0.0
L HH,,
,.L HH,0.067193676
,L.HH,0.932806324
,L HH.,0.0
,?.?,0.0
N R,,
,.N R,0.034090909
,N.R,0.95454545475
,N R.,0.01136363625
,?.?,0.0
N S M,,
,.N S M,0.0
,N.S M,0.136363636
,N S.M,0.863636364
,N S M.,0.0
,?.?,0.0
SH M,,
,.SH M,0.136363636
,SH.M,0.863636364
,SH M.,0.0
,?.?,0.0
S P R,,
,.S P R,0.125
,S.P R,0.8188405796666668
,S P.R,0.04227053133333333
,S P R.,0.013888889
,?.?,0.0
S T P,,
,.S T P,0.090909091
,S.T P,0.272727273
,S T.P,0.636363636
,S T P.,0.0
,?.?,0.0
T S W,,
,.T S W,0.772727273
,T.S W,0.181818182
,T S.W,0.0
,T S W.,0.0
,?.?,0.045454545
L T R,,
,.L T R,0.0
,L.T R,0.9772727275
,L T.R,0.022727272500000003
,L T R.,0.0
,?.?,0.0
N SH,,
,.N SH,0.022021456785714284
,N.SH,0.9587803500714286
,N SH.,0.01270468664285714
,?.?,0.0064935065
N CH P,,
,.N CH P,0.0
,N.CH P,0.04545454504545454
,N CH.P,0.9090909099090909
,N CH P.,0.0
,?.?,0.04545454504545454
M N,,
,.M N,0.015151514999999997
,M.N,0.9703557313333332
,M N.,0.014492753666666663
,?.?,0.0
S K Y,,
,.S K Y,0.568181818284091
,S.K Y,0.4090909092045455
,S K.Y,0.022727272511363635
,S K Y.,0.0
,?.?,0.0
R S SH,,
,.R S SH,0.0
,R.S SH,0.22727272722727274
,R S.SH,0.7272727277272727
,R S SH.,0.04545454504545454
,?.?,0.0
N S P L,,
,.N S P L,0.0
,N.S P L,0.272727273
,N S.P L,0.727272727
,N S P.L,0.0
,?.?,0.0
S P L,,
,.S P L,0.090909091
,S.P L,0.8636363635
,S P.L,0.0454545455
,S P L.,0.0
,?.?,0.0
D S K,,
,.D S K,0.0
,D.S K,1.0
,D S.K,0.0
,D S K.,0.0
,?.?,0.0
S SH,,
,.S SH,0.272727273
,S.SH,0.727272727
,S SH.,0.0
,?.?,0.0
G B,,
,.G B,0.0
,G.B,0.954545455
,G B.,0.045454545
,?.?,0.0
R T S T,,
,.R T S T,0.0
,R.T S T,0.090909091
,R T.S T,0.909090909
,R T S.T,0.0
,?.?,0.0
K S P L,,
,.K S P L,0.045454545348484844
,K.S P L,0.23611111107870367
,K S.P L,0.6893939395631313
,K S P.L,0.029040404009680134
,?.?,0.0
N D F,,
,.N D F,0.0
,N.D F,0.1818181815
,N D.F,0.8181818185
,N D F.,0.0
,?.?,0.0
F SH,,
,.F SH,0.045454545
,F.SH,0.954545455
,F SH.,0.0
,?.?,0.0
Z L,,
,.Z L,0.16749011875
,Z.L,0.83250988125
,Z L.,0.0
,?.?,0.0
T P,,
,.T P,0.0
,T.P,1.0
,T P.,0.0
,?.?,0.0
TH P,,
,.TH P,0.022727272511363635
,TH.P,0.9545454549772728
,TH P.,0.022727272511363635
,?.?,0.0
B V,,
,.B V,0.11166007900000001
,B.V,0.8666007905
,B V.,0.021739130500000002
,?.?,0.0
N T HH,,
,.N T HH,0.0
,N.T HH,0.181818182
,N T.HH,0.818181818
,N T HH.,0.0
,?.?,0.0
B T,,
,.B T,0.0
,B.T,1.0
,B T.,0.0
,?.?,0.0
R B L,,
,.R B L,0.0
,R.B L,0.8181818188181817
,R B.L,0.13636363613636365
,R B L.,0.0
,?.?,0.04545454504545454
K CH,,
,.K CH,0.08896574458220685
,K.CH,0.8390645586321871
