Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('M', 'P')",shampoo,XC,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0,False,True
"('M', 'P')",shampoo,CX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,20,False,True
"('M', 'P')",shampoo,CCX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0,False,True
"('M', 'P')",shampoo,X,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0,False,True
"('T',)",whitish,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,9,True,False
"('T',)",whitish,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,10,True,False
"('T',)",whitish,X,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,1,True,False
"('N', 'Y')",senior,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2,True,False
"('N', 'Y')",senior,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,18,True,False
"('N', 'Y')",senior,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,False
"('N', 'Y')",senior,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,False
"('N',)",connote,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,18,False,True
"('N',)",connote,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,2,False,True
"('N',)",connote,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,0,False,True
"('N', 'T', 'R')",pantry,XC,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'T', 'R')",pantry,CX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,20,True,True
"('N', 'T', 'R')",pantry,CCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'T', 'R')",pantry,CCCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'T', 'R')",pantry,X,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N',)",guano,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,13,True,False
"('N',)",guano,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,5,True,False
"('N',)",guano,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,2,True,False
"('ZH',)",seizure,XC,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,14,True,False
"('ZH',)",seizure,CX,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,6,True,False
"('ZH',)",seizure,X,0.14377204380917025,0.8562279561908298,0,0,XC,1,0,0,0,0,True,False
"('S',)",passage,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,12,True,True
"('S',)",passage,CX,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,8,True,True
"('S',)",passage,X,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,0,True,True
"('L', 'V')",salvo,XC,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,0,True,True
"('L', 'V')",salvo,CX,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,19,True,True
"('L', 'V')",salvo,CCX,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,1,True,True
"('L', 'V')",salvo,X,0.0,0.9392973961489216,0.060702603851078465,0,CX,0.25,0.25,0.25,0,0,True,True
"('B',)",cobble,XC,0.8952201829345698,0.10477981706543017,0,0,XC,0,1,0,0,17,True,False
"('B',)",cobble,CX,0.8952201829345698,0.10477981706543017,0,0,XC,0,1,0,0,3,True,False
"('B',)",cobble,X,0.8952201829345698,0.10477981706543017,0,0,XC,0,1,0,0,0,True,False
"('K',)",akin,XC,0.6891478535557146,0.3108521464442854,0,0,XC,1,0,0,0,19,False,True
"('K',)",akin,CX,0.6891478535557146,0.3108521464442854,0,0,XC,1,0,0,0,1,False,True
"('K',)",akin,X,0.6891478535557146,0.3108521464442854,0,0,XC,1,0,0,0,0,False,True
"('L', 'L')",guileless,XC,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,False
"('L', 'L')",guileless,CX,0.0,1.0,0.0,0,CX,0,1,0,0,19,True,False
"('L', 'L')",guileless,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,1,True,False
"('L', 'L')",guileless,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,False
"('P', 'R')",deprave,XC,0.9075519982181032,0.0924480017818968,0.0,0,XC,0.25,0.25,0.25,0,20,False,False
"('P', 'R')",deprave,CX,0.9075519982181032,0.0924480017818968,0.0,0,XC,0.25,0.25,0.25,0,0,False,False
"('P', 'R')",deprave,CCX,0.9075519982181032,0.0924480017818968,0.0,0,XC,0.25,0.25,0.25,0,0,False,False
"('P', 'R')",deprave,X,0.9075519982181032,0.0924480017818968,0.0,0,XC,0.25,0.25,0.25,0,0,False,False
"('N', 'S')",sincere,XC,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'S')",sincere,CX,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,20,False,True
"('N', 'S')",sincere,CCX,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'S')",sincere,X,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,0,False,True
"('T', 'L')",atlas,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,True
"('T', 'L')",atlas,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,19,True,True
"('T', 'L')",atlas,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('T', 'L')",atlas,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('K', 'S', 'T')",sixty,XC,0.0,0.7128851228966493,0.20500576321422692,0.08210911388912376,CX,0,0,1,0,0,True,True
"('K', 'S', 'T')",sixty,CX,0.0,0.7128851228966493,0.20500576321422692,0.08210911388912376,CX,0,0,1,0,4,True,True
"('K', 'S', 'T')",sixty,CCX,0.0,0.7128851228966493,0.20500576321422692,0.08210911388912376,CX,0,0,1,0,15,True,True
"('K', 'S', 'T')",sixty,CCCX,0.0,0.7128851228966493,0.20500576321422692,0.08210911388912376,CX,0,0,1,0,1,True,True
"('K', 'S', 'T')",sixty,X,0.0,0.7128851228966493,0.20500576321422692,0.08210911388912376,CX,0,0,1,0,0,True,True
"('K', 'T')",dictate,XC,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,1,False,True
"('K', 'T')",dictate,CX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,19,False,True
"('K', 'T')",dictate,CCX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,0,False,True
"('K', 'T')",dictate,X,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,0,False,True
"('S', 'T')",cistern,XC,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,1,True,True
"('S', 'T')",cistern,CX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,17,True,True
"('S', 'T')",cistern,CCX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,2,True,True
"('S', 'T')",cistern,X,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,0,True,True
"('K', 'T')",rector,XC,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,1,True,True
"('K', 'T')",rector,CX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,17,True,True
"('K', 'T')",rector,CCX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,2,True,True
"('K', 'T')",rector,X,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,0,True,True
"('D',)",cuddle,XC,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,15,True,True
"('D',)",cuddle,CX,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,5,True,True
"('D',)",cuddle,X,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,0,True,True
"('N', 'D')",pending,XC,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,0,True,True
"('N', 'D')",pending,CX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,16,True,True
"('N', 'D')",pending,CCX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,4,True,True
"('N', 'D')",pending,X,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,0,True,True
"('M',)",shimmy,XC,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,11,True,True
"('M',)",shimmy,CX,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,9,True,True
"('M',)",shimmy,X,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,0,True,True
"('K', 'S')",backside,XC,0.0,0.7408317551546784,0.2591682448453216,0,CX,0,1,0,0,0,True,True
"('K', 'S')",backside,CX,0.0,0.7408317551546784,0.2591682448453216,0,CX,0,1,0,0,20,True,True
"('K', 'S')",backside,CCX,0.0,0.7408317551546784,0.2591682448453216,0,CX,0,1,0,0,0,True,True
"('K', 'S')",backside,X,0.0,0.7408317551546784,0.2591682448453216,0,CX,0,1,0,0,0,True,True
"('CH',)",bachelor,XC,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,4,True,True
"('CH',)",bachelor,CX,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,16,True,True
"('CH',)",bachelor,X,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,0,True,True
"('N', 'JH')",congest,XC,0.0,0.8521537054669897,0.14784629453301024,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'JH')",congest,CX,0.0,0.8521537054669897,0.14784629453301024,0,CX,0.25,0.25,0.25,0,20,False,True
"('N', 'JH')",congest,CCX,0.0,0.8521537054669897,0.14784629453301024,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'JH')",congest,X,0.0,0.8521537054669897,0.14784629453301024,0,CX,0.25,0.25,0.25,0,0,False,True
"('CH',)",hatchet,XC,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,12,True,True
"('CH',)",hatchet,CX,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,8,True,True
"('CH',)",hatchet,X,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,0,True,True
"('M', 'L')",limbless,XC,0.0,1.0,0.0,0,CX,0,1,0,0,1,True,True
"('M', 'L')",limbless,CX,0.0,1.0,0.0,0,CX,0,1,0,0,19,True,True
"('M', 'L')",limbless,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True
"('M', 'L')",limbless,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True
"('V',)",havoc,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,12,True,True
"('V',)",havoc,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,8,True,True
"('V',)",havoc,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,True,True
"('S',)",mason,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,20,True,False
"('S',)",mason,CX,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,0,True,False
"('S',)",mason,X,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,0,True,False
"('M',)",rummage,XC,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,13,True,True
"('M',)",rummage,CX,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,7,True,True
"('M',)",rummage,X,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,0,True,True
"('V',)",having,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,9,True,True
"('V',)",having,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,11,True,True
"('V',)",having,X,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,0,True,True
"('N', 'V')",convex,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'V')",convex,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,20,False,True
"('N', 'V')",convex,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'V')",convex,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'D')",handle,XC,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,0,True,True
"('N', 'D')",handle,CX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,19,True,True
"('N', 'D')",handle,CCX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,1,True,True
"('N', 'D')",handle,X,0.0,0.8386634243321687,0.16133657566783127,0,CX,0.25,0.25,0.25,0,0,True,True
"('R', 'N')",burnish,XC,0.0,0.6143303039084806,0.38566969609151935,0,CX,0.25,0.25,0.25,0,1,True,True
"('R', 'N')",burnish,CX,0.0,0.6143303039084806,0.38566969609151935,0,CX,0.25,0.25,0.25,0,12,True,True
"('R', 'N')",burnish,CCX,0.0,0.6143303039084806,0.38566969609151935,0,CX,0.25,0.25,0.25,0,7,True,True
"('R', 'N')",burnish,X,0.0,0.6143303039084806,0.38566969609151935,0,CX,0.25,0.25,0.25,0,0,True,True
"('R', 'P', 'L')",surplus,XC,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('R', 'P', 'L')",surplus,CX,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,20,True,True
"('R', 'P', 'L')",surplus,CCX,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('R', 'P', 'L')",surplus,CCCX,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('R', 'P', 'L')",surplus,X,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('S', 'P')",passport,XC,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0,1,0,0,0,True,True
"('S', 'P')",passport,CX,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0,1,0,0,20,True,True
"('S', 'P')",passport,CCX,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0,1,0,0,0,True,True
"('S', 'P')",passport,X,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0,1,0,0,0,True,True
"('M', 'B')",limbo,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('M', 'B')",limbo,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,19,True,True
"('M', 'B')",limbo,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('M', 'B')",limbo,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,True
"('V',)",bovine,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,20,True,False
"('V',)",bovine,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,True,False
"('V',)",bovine,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,True,False
"('V',)",crevice,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,17,True,True
"('V',)",crevice,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,3,True,True
"('V',)",crevice,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,True,True
"('Z',)",trousers,XC,0.15029204587351797,0.849707954126482,0,0,XC,0.25,0.25,0,0,18,True,False
"('Z',)",trousers,CX,0.15029204587351797,0.849707954126482,0,0,XC,0.25,0.25,0,0,2,True,False
"('Z',)",trousers,X,0.15029204587351797,0.849707954126482,0,0,XC,0.25,0.25,0,0,0,True,False
"('N', 'D', 'W')",sandwich,XC,0.0,0.1622972380534853,0.8377027619465148,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'D', 'W')",sandwich,CX,0.0,0.1622972380534853,0.8377027619465148,0.0,CX,0.25,0.25,0.25,0.25,7,True,True
"('N', 'D', 'W')",sandwich,CCX,0.0,0.1622972380534853,0.8377027619465148,0.0,CX,0.25,0.25,0.25,0.25,13,True,True
"('N', 'D', 'W')",sandwich,CCCX,0.0,0.1622972380534853,0.8377027619465148,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'D', 'W')",sandwich,X,0.0,0.1622972380534853,0.8377027619465148,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('L',)",gallant,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,12,True,True
"('L',)",gallant,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,8,True,True
"('L',)",gallant,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,0,True,True
"('M', 'B')",gamble,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('M', 'B')",gamble,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,19,True,True
"('M', 'B')",gamble,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,True
"('M', 'B')",gamble,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('K',)",lucky,XC,0.6891478535557146,0.3108521464442854,0,0,XC,0,1,0,0,17,True,True
"('K',)",lucky,CX,0.6891478535557146,0.3108521464442854,0,0,XC,0,1,0,0,3,True,True
"('K',)",lucky,X,0.6891478535557146,0.3108521464442854,0,0,XC,0,1,0,0,0,True,True
"('G',)",stagger,XC,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,14,True,True
"('G',)",stagger,CX,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,6,True,True
"('G',)",stagger,X,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,0,True,True
"('F',)",stifle,XC,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,19,True,False
"('F',)",stifle,CX,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,1,True,False
"('F',)",stifle,X,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,0,True,False
"('M', 'B')",gambit,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('M', 'B')",gambit,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,17,True,True
"('M', 'B')",gambit,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,3,True,True
"('M', 'B')",gambit,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('S',)",basis,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,17,True,False
"('S',)",basis,CX,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,3,True,False
"('S',)",basis,X,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,0,True,False
"('N', 'Y')",genius,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,5,True,False
"('N', 'Y')",genius,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,14,True,False
"('N', 'Y')",genius,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,False
"('N', 'Y')",genius,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,False
"('T', 'R')",outright,XC,0.41696854101388486,0.5830314589861152,0.0,0,XC,0,1,0,0,0,True,False
"('T', 'R')",outright,CX,0.41696854101388486,0.5830314589861152,0.0,0,XC,0,1,0,0,20,True,False
"('T', 'R')",outright,CCX,0.41696854101388486,0.5830314589861152,0.0,0,XC,0,1,0,0,0,True,False
"('T', 'R')",outright,X,0.41696854101388486,0.5830314589861152,0.0,0,XC,0,1,0,0,0,True,False
"('JH',)",staging,XC,0.5922884283359673,0.40771157166403266,0,0,XC,0,1,0,0,16,True,False
"('JH',)",staging,CX,0.5922884283359673,0.40771157166403266,0,0,XC,0,1,0,0,4,True,False
"('JH',)",staging,X,0.5922884283359673,0.40771157166403266,0,0,XC,0,1,0,0,0,True,False
"('R', 'D')",order,XC,0.0,0.662737112261928,0.33726288773807195,0,CX,0.25,0.25,0.25,0,0,True,True
"('R', 'D')",order,CX,0.0,0.662737112261928,0.33726288773807195,0,CX,0.25,0.25,0.25,0,20,True,True
"('R', 'D')",order,CCX,0.0,0.662737112261928,0.33726288773807195,0,CX,0.25,0.25,0.25,0,0,True,True
"('R', 'D')",order,X,0.0,0.662737112261928,0.33726288773807195,0,CX,0.25,0.25,0.25,0,0,True,True
"('R', 'T')",artist,XC,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,0,True,False
"('R', 'T')",artist,CX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,16,True,False
"('R', 'T')",artist,CCX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,4,True,False
"('R', 'T')",artist,X,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,0,True,False
"('V',)",overt,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,17,False,False
"('V',)",overt,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,3,False,False
"('V',)",overt,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,False,False
"('K',)",stucco,XC,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,11,True,True
"('K',)",stucco,CX,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,9,True,True
"('K',)",stucco,X,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,0,True,True
"('S', 'T')",lustre,XC,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,8,True,True
"('S', 'T')",lustre,CX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,12,True,True
"('S', 'T')",lustre,CCX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,0,True,True
"('S', 'T')",lustre,X,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,0,True,True
"('V',)",proverb,XC,0.5401753672482296,0.4598246327517703,0,0,XC,1,0,0,0,20,True,False
"('V',)",proverb,CX,0.5401753672482296,0.4598246327517703,0,0,XC,1,0,0,0,0,True,False
"('V',)",proverb,X,0.5401753672482296,0.4598246327517703,0,0,XC,1,0,0,0,0,True,False
"('M', 'B')",nimble,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2,True,True
"('M', 'B')",nimble,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,17,True,True
"('M', 'B')",nimble,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,True
"('M', 'B')",nimble,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('L', 'Y')",milieu,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,5,False,True
"('L', 'Y')",milieu,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,13,False,True
"('L', 'Y')",milieu,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,False,True
"('L', 'Y')",milieu,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,False,True
"('M',)",primate,XC,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,19,True,False
"('M',)",primate,CX,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,1,True,False
"('M',)",primate,X,0.6709716053288722,0.3290283946711278,0,0,XC,0.25,0.25,0,0,0,True,False
"('K',)",stocking,XC,0.6891478535557146,0.3108521464442854,0,0,XC,0,1,0,0,15,True,False
"('K',)",stocking,CX,0.6891478535557146,0.3108521464442854,0,0,XC,0,1,0,0,5,True,False
"('K',)",stocking,X,0.6891478535557146,0.3108521464442854,0,0,XC,0,1,0,0,0,True,False
"('NG', 'L')",strongly,XC,0.0,1.0,0.0,0,CX,0,1,0,0,2,True,True
"('NG', 'L')",strongly,CX,0.0,1.0,0.0,0,CX,0,1,0,0,18,True,True
"('NG', 'L')",strongly,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True
"('NG', 'L')",strongly,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True
"('P',)",opus,XC,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,18,True,False
"('P',)",opus,CX,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,2,True,False
"('P',)",opus,X,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,0,True,False
"('N', 'T')",frontal,XC,0.0,0.3833939322691433,0.6166060677308568,0,CX,0,0,1,0,1,True,True
"('N', 'T')",frontal,CX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0,0,1,0,17,True,True
"('N', 'T')",frontal,CCX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0,0,1,0,2,True,True
"('N', 'T')",frontal,X,0.0,0.3833939322691433,0.6166060677308568,0,CX,0,0,1,0,0,True,True
"('T',)",glottis,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,16,True,False
"('T',)",glottis,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,3,True,False
"('T',)",glottis,X,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,1,True,False
"('S', 'T')",spastic,XC,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,5,True,True
"('S', 'T')",spastic,CX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,14,True,True
"('S', 'T')",spastic,CCX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,1,True,True
"('S', 'T')",spastic,X,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,0,True,True
"('R', 'M')",dormant,XC,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,0,True,True
"('R', 'M')",dormant,CX,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,19,True,True
"('R', 'M')",dormant,CCX,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,1,True,True
"('R', 'M')",dormant,X,0.0,0.7875295997466477,0.21247040025335223,0,CX,0.25,0.25,0.25,0,0,True,True
