Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('B',)",gobble,X,0.8952201829345698,0.10477981706543017,0,0,XC,0,1,0,0,0,True,False
"('N', 'T')",contend,XC,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'T')",contend,CX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,22,False,True
"('N', 'T')",contend,CCX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'T')",contend,X,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,False,True
"('R',)",glory,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,6,True,True
"('R',)",glory,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,16,True,True
"('R',)",glory,X,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,0,True,True
"('K', 'L')",recline,XC,0.5475793250606604,0.4524206749393396,0.0,0,XC,0.25,0.25,0.25,0,20,False,True
"('K', 'L')",recline,CX,0.5475793250606604,0.4524206749393396,0.0,0,XC,0.25,0.25,0.25,0,1,False,True
"('K', 'L')",recline,CCX,0.5475793250606604,0.4524206749393396,0.0,0,XC,0.25,0.25,0.25,0,1,False,True
"('K', 'L')",recline,X,0.5475793250606604,0.4524206749393396,0.0,0,XC,0.25,0.25,0.25,0,0,False,True
"('N', 'T')",contour,XC,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,1,True,False
"('N', 'T')",contour,CX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,20,True,False
"('N', 'T')",contour,CCX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,1,True,False
"('N', 'T')",contour,X,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,True,False
"('N', 'T', 'R')",contract,XC,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,2,True,False
"('N', 'T', 'R')",contract,CX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,19,True,False
"('N', 'T', 'R')",contract,CCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,1,True,False
"('N', 'T', 'R')",contract,CCCX,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,False
"('N', 'T', 'R')",contract,X,0.0,0.46131031887486096,0.538689681125139,0.0,CX,0.25,0.25,0.25,0.25,0,True,False
"('N', 'D', 'CH')",grandchild,XC,0.0,0.0,1.0,0.0,CCX,0,0,1,0,0,True,True
"('N', 'D', 'CH')",grandchild,CX,0.0,0.0,1.0,0.0,CCX,0,0,1,0,7,True,True
"('N', 'D', 'CH')",grandchild,CCX,0.0,0.0,1.0,0.0,CCX,0,0,1,0,15,True,True
"('N', 'D', 'CH')",grandchild,CCCX,0.0,0.0,1.0,0.0,CCX,0,0,1,0,0,True,True
"('N', 'D', 'CH')",grandchild,X,0.0,0.0,1.0,0.0,CCX,0,0,1,0,0,True,True
"('T',)",gotten,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,12,True,False
"('T',)",gotten,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,10,True,False
"('T',)",gotten,X,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,0,True,False
