Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency
"('R', 'S')",ourselves,XC,0.0,0.8041076866232625,0.19589231337673757,0,CX,0.25,0.25,0.25,0,0
"('R', 'S')",ourselves,CX,0.0,0.8041076866232625,0.19589231337673757,0,CX,0.25,0.25,0.25,0,22
"('R', 'S')",ourselves,CCX,0.0,0.8041076866232625,0.19589231337673757,0,CX,0.25,0.25,0.25,0,0
"('R', 'S')",ourselves,X,0.0,0.8041076866232625,0.19589231337673757,0,CX,0.25,0.25,0.25,0,0
"('R', 'P', 'L')",perplex,XC,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0
"('R', 'P', 'L')",perplex,CX,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,22
"('R', 'P', 'L')",perplex,CCX,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0
"('R', 'P', 'L')",perplex,CCCX,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0
"('R', 'P', 'L')",perplex,X,0.0,0.9253597122302158,0.07464028776978418,0.0,CX,0.25,0.25,0.25,0.25,0
"('JH',)",budget,XC,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,13
"('JH',)",budget,CX,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,9
"('JH',)",budget,X,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,0
"('P',)",pepper,XC,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,15
"('P',)",pepper,CX,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,7
"('P',)",pepper,X,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,0
"('R', 'V')",servant,XC,0.0,0.9437512861748588,0.05624871382514119,0,CX,0.25,0.25,0.25,0,0
"('R', 'V')",servant,CX,0.0,0.9437512861748588,0.05624871382514119,0,CX,0.25,0.25,0.25,0,18
"('R', 'V')",servant,CCX,0.0,0.9437512861748588,0.05624871382514119,0,CX,0.25,0.25,0.25,0,4
"('R', 'V')",servant,X,0.0,0.9437512861748588,0.05624871382514119,0,CX,0.25,0.25,0.25,0,0
"('P',)",people,XC,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,21
"('P',)",people,CX,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,1
"('P',)",people,X,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,0
"('K', 'S')",buxom,XC,0.0,0.7408317551546784,0.2591682448453216,0,CX,0.25,0.25,0.25,0,4
"('K', 'S')",buxom,CX,0.0,0.7408317551546784,0.2591682448453216,0,CX,0.25,0.25,0.25,0,11
"('K', 'S')",buxom,CCX,0.0,0.7408317551546784,0.2591682448453216,0,CX,0.25,0.25,0.25,0,6
"('K', 'S')",buxom,X,0.0,0.7408317551546784,0.2591682448453216,0,CX,0.25,0.25,0.25,0,1
"('L', 'M')",ailment,XC,0.0,0.9840078530542725,0.015992146945727464,0,CX,0,1,0,0,0
"('L', 'M')",ailment,CX,0.0,0.9840078530542725,0.015992146945727464,0,CX,0,1,0,0,22
"('L', 'M')",ailment,CCX,0.0,0.9840078530542725,0.015992146945727464,0,CX,0,1,0,0,0
"('L', 'M')",ailment,X,0.0,0.9840078530542725,0.015992146945727464,0,CX,0,1,0,0,0
"('R', 'N', 'K')",turnkey,XC,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0
"('R', 'N', 'K')",turnkey,CX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,3
"('R', 'N', 'K')",turnkey,CCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,19
"('R', 'N', 'K')",turnkey,CCCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0
"('R', 'N', 'K')",turnkey,X,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0
"('R', 'K')",turkey,XC,0.0,0.8225193593381752,0.1774806406618248,0,CX,0.25,0.25,0.25,0,0
"('R', 'K')",turkey,CX,0.0,0.8225193593381752,0.1774806406618248,0,CX,0.25,0.25,0.25,0,20
"('R', 'K')",turkey,CCX,0.0,0.8225193593381752,0.1774806406618248,0,CX,0.25,0.25,0.25,0,2
"('R', 'K')",turkey,X,0.0,0.8225193593381752,0.1774806406618248,0,CX,0.25,0.25,0.25,0,0
"('R',)",pharaoh,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,12
"('R',)",pharaoh,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,10
"('R',)",pharaoh,X,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,0
"('F',)",soften,XC,0.8541418381685908,0.1458581618314093,0,0,XC,0,1,0,0,17
"('F',)",soften,CX,0.8541418381685908,0.1458581618314093,0,0,XC,0,1,0,0,5
"('F',)",soften,X,0.8541418381685908,0.1458581618314093,0,0,XC,0,1,0,0,0
"('N',)",tunnel,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,15
"('N',)",tunnel,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,7
"('N',)",tunnel,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,0
"('S', 'K')",discourse,XC,0.25312729070510015,0.6894445865304853,0.057428122764414474,0,XC,0,1,0,0,1
"('S', 'K')",discourse,CX,0.25312729070510015,0.6894445865304853,0.057428122764414474,0,XC,0,1,0,0,20
"('S', 'K')",discourse,CCX,0.25312729070510015,0.6894445865304853,0.057428122764414474,0,XC,0,1,0,0,1
"('S', 'K')",discourse,X,0.25312729070510015,0.6894445865304853,0.057428122764414474,0,XC,0,1,0,0,0
"('NG', 'L')",wrongly,XC,0.0,1.0,0.0,0,CX,0,1,0,0,2
"('NG', 'L')",wrongly,CX,0.0,1.0,0.0,0,CX,0,1,0,0,19
"('NG', 'L')",wrongly,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,1
"('NG', 'L')",wrongly,X,0.0,1.0,0.0,0,CX,0,1,0,0,0
"('NG', 'K')",twinkle,XC,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,0
"('NG', 'K')",twinkle,CX,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,18
"('NG', 'K')",twinkle,CCX,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,4
"('NG', 'K')",twinkle,X,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,0
"('G',)",agog,XC,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,20
"('G',)",agog,CX,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,2
"('G',)",agog,X,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,0
"('M', 'P')",rampage,XC,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,2
"('M', 'P')",rampage,CX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,16
"('M', 'P')",rampage,CCX,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,4
"('M', 'P')",rampage,X,0.0,0.7518780611792045,0.24812193882079542,0,CX,0.25,0.25,0.25,0,0
