Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('D',)",waddle,CX,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,5,True,False,0.12289325842696627,0.783068783068783
"('D',)",waddle,X,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('B', 'R')",hubris,XC,0.9018770734823855,0.09812292651761441,0.0,0,XC,0.25,0.25,0.25,0,17,True,False,0.9850157728706624,0.029951690821256045
"('B', 'R')",hubris,CX,0.9018770734823855,0.09812292651761441,0.0,0,XC,0.25,0.25,0.25,0,4,True,False,0.014984227129337538,0.21421670117322295
"('B', 'R')",hubris,CCX,0.9018770734823855,0.09812292651761441,0.0,0,XC,0.25,0.25,0.25,0,0,True,False,0.0,0.7558316080055211
"('B', 'R')",hubris,X,0.9018770734823855,0.09812292651761441,0.0,0,XC,0.25,0.25,0.25,0,0,True,False,,
"('S', 'K')",viscount,XC,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,16,True,True,0.8319271758436945,0.02176541717049577
"('S', 'K')",viscount,CX,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,1,True,True,0.16440941385435165,0.24250974069595596
"('S', 'K')",viscount,CCX,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,0,True,True,0.0036634103019538176,0.7357248421335484
"('S', 'K')",viscount,X,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,4,True,True,,
"('S', 'K')",viscous,XC,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,1,True,True,0.8319271758436945,0.02176541717049577
"('S', 'K')",viscous,CX,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,17,True,True,0.16440941385435165,0.24250974069595596
"('S', 'K')",viscous,CCX,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,2,True,True,0.0036634103019538176,0.7357248421335484
"('S', 'K')",viscous,X,0.2984379566960288,0.6571395701166758,0.044422473187295475,0,XC,0.25,0.25,0.25,0,1,True,True,,
"('T', 'R')",waitress,XC,0.47116277746650986,0.5288372225334902,0.0,0,XC,0,0,1,0,16,True,False,0.8192850114791734,0.041592799672712386
"('T', 'R')",waitress,CX,0.47116277746650986,0.5288372225334902,0.0,0,XC,0,0,1,0,5,True,False,0.18071498852082649,0.21164598390835948
"('T', 'R')",waitress,CCX,0.47116277746650986,0.5288372225334902,0.0,0,XC,0,0,1,0,0,True,False,0.0,0.746761216418928
"('T', 'R')",waitress,X,0.47116277746650986,0.5288372225334902,0.0,0,XC,0,0,1,0,0,True,False,,
"('R',)",wary,XC,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,8,True,True,0.944185460501449,0.22083096186681847
"('R',)",wary,CX,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,13,True,True,0.055814539498551086,0.7791690381331815
"('R',)",wary,X,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('DH',)",tether,XC,0.7756492638370178,0.22435073616298218,0,0,XC,0.25,0.25,0,0,16,True,True,0.9974710501796885,0.008689355539464158
"('DH',)",tether,CX,0.7756492638370178,0.22435073616298218,0,0,XC,0.25,0.25,0,0,5,True,True,0.0025289498203114593,0.9913106444605359
"('DH',)",tether,X,0.7756492638370178,0.22435073616298218,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('V',)",waiver,XC,0.5737859575335379,0.426214042466462,0,0,XC,1,0,0,0,20,True,False,0.9457344775365977,0.07170706899474488
"('V',)",waiver,CX,0.5737859575335379,0.426214042466462,0,0,XC,1,0,0,0,1,True,False,0.05426552246340232,0.9282929310052551
"('V',)",waiver,X,0.5737859575335379,0.426214042466462,0,0,XC,1,0,0,0,0,True,False,,
"('K',)",waken,XC,0.7122404618686946,0.28775953813130534,0,0,XC,0,1,0,0,19,True,False,0.882477626000942,0.2479055074852356
"('K',)",waken,CX,0.7122404618686946,0.28775953813130534,0,0,XC,0,1,0,0,2,True,False,0.11752237399905792,0.7520944925147645
"('K',)",waken,X,0.7122404618686946,0.28775953813130534,0,0,XC,0,1,0,0,0,True,False,,
"('N', 'D')",vendee,XC,0.0,0.7453799281808742,0.25462007181912594,0,CX,0,0,1,0,0,True,True,0.7020140515222483,0.0
