Word,# of Medial Consonants,# of .C*,# of C.*,# of CC.*,# of CCC.*,# of ?,prop. of .C*,prop. of C.*,prop. of CC.*,prop. of CCC.*,prop. of ?
lotion,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
expert,3,2,5,15,0,0,0.090909091,0.227272727,0.681818182,0,0
ductile,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
eclat,2,9,8,1,0,4,0.409090909,0.363636364,0.045454545,0,0.181818182
rectum,2,1,19,2,0,0,0.045454545,0.863636364,0.090909091,0,0
zealous,1,10,12,0,0,0,0.454545455,0.545454545,0,0,0
eaten,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
eastern,2,12,9,1,0,0,0.545454545,0.409090909,0.045454545,0,0
forlorn,2,0,22,0,0,0,0,1,0,0,0
dwindle,2,0,20,2,0,0,0,0.909090909,0.090909091,0,0
duty,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
early,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
eaglet,2,14,8,0,0,0,0.636363636,0.363636364,0,0,0
dozen,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
despise,2,10,12,0,0,0,0.454545455,0.545454545,0,0,0
drama,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
dragon,1,16,6,0,0,0,0.727272727,0.272727273,0,0,0
tailor,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
purloin,2,2,19,0,0,1,0.090909091,0.863636364,0,0,0.045454545
dovetail,2,1,20,0,0,1,0.045454545,0.909090909,0,0,0.045454545
crucial,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
downbeat,2,0,22,0,0,0,0,1,0,0,0
dainty,2,1,20,1,0,0,0.045454545,0.909090909,0.045454545,0,0
drover,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
dropsy,2,3,18,1,0,0,0.136363636,0.818181818,0.045454545,0,0
biplane,2,22,0,0,0,0,1,0,0,0,0
stridden,1,12,10,0,0,0,0.545454545,0.454545455,0,0,0
crouton,1,20,1,0,0,1,0.909090909,0.045454545,0,0,0.045454545
dresser,1,11,11,0,0,0,0.5,0.5,0,0,0
dreamer,1,13,9,0,0,0,0.590909091,0.409090909,0,0,0
driven,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
riddance,1,14,8,0,0,0,0.636363636,0.363636364,0,0,0
default,1,22,0,0,0,0,1,0,0,0,0
wrinkle,2,1,17,4,0,0,0.045454545,0.772727273,0.181818182,0,0
decoy,1,22,0,0,0,0,1,0,0,0,0
manly,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
cynic,1,9,13,0,0,0,0.409090909,0.590909091,0,0,0
trickster,3,0,15,7,0,0,0,0.681818182,0.318181818,0,0
corsair,2,1,19,1,0,1,0.045454545,0.863636364,0.045454545,0,0.045454545
daughter,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
timepiece,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
decent,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
denote,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
atone,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
delouse,1,19,2,0,0,1,0.863636364,0.090909091,0,0,0.045454545
demean,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
demand,1,20,1,0,0,1,0.909090909,0.045454545,0,0,0.045454545
cymbal,2,0,22,0,0,0,0,1,0,0,0
deform,1,22,0,0,0,0,1,0,0,0,0
defeat,1,22,0,0,0,0,1,0,0,0,0
defy,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
refund,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
darksome,3,0,1,21,0,0,0,0.045454545,0.954545455,0,0
darkroom,3,0,6,16,0,0,0,0.272727273,0.727272727,0,0
stammer,1,14,8,0,0,0,0.636363636,0.363636364,0,0,0
dagger,1,12,10,0,0,0,0.545454545,0.454545455,0,0,0
crosier,1,17,2,0,0,3,0.772727273,0.090909091,0,0,0.136363636
dampen,2,3,17,2,0,0,0.136363636,0.772727273,0.090909091,0,0
dally,1,13,9,0,0,0,0.590909091,0.409090909,0,0,0
dairy,1,12,10,0,0,0,0.545454545,0.454545455,0,0,0
damsel,2,0,19,3,0,0,0,0.863636364,0.136363636,0,0
decal,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
debunk,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
debrief,2,22,0,0,0,0,1,0,0,0,0
reddish,1,10,12,0,0,0,0.454545455,0.545454545,0,0,0
sailor,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
debar,1,22,0,0,0,0,1,0,0,0,0
deadline,2,2,20,0,0,0,0.090909091,0.909090909,0,0,0
dawdle,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
dealing,1,6,16,0,0,0,0.272727273,0.727272727,0,0,0
redress,2,21,1,0,0,0,0.954545455,0.045454545,0,0,0
pauper,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
diction,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
linden,2,0,22,0,0,0,0,1,0,0,0
fashion,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
dictum,2,1,18,3,0,0,0.045454545,0.818181818,0.136363636,0,0
dicky,1,9,13,0,0,0,0.409090909,0.590909091,0,0,0
cosmos,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
nitrate,2,21,0,0,0,1,0.954545455,0,0,0,0.045454545
hygiene,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
dibble,1,16,6,0,0,0,0.727272727,0.272727273,0,0,0
curfew,3,0,20,2,0,0,0,0.909090909,0.090909091,0,0
dislodge,2,2,19,1,0,0,0.090909091,0.863636364,0.045454545,0,0
discount,2,2,20,0,0,0,0.090909091,0.909090909,0,0,0
rigor,1,16,6,0,0,0,0.727272727,0.272727273,0,0,0
dismal,2,2,19,1,0,0,0.090909091,0.863636364,0.045454545,0,0
discern,1,10,12,0,0,0,0.454545455,0.545454545,0,0,0
diner,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
prudish,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
direct,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
dinky,2,2,16,4,0,0,0.090909091,0.727272727,0.181818182,0,0
worry,1,9,13,0,0,0,0.409090909,0.590909091,0,0,0
cutup,1,5,17,0,0,0,0.227272727,0.772727273,0,0,0
descant,2,6,16,0,0,0,0.272727273,0.727272727,0,0,0
simple,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
deport,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
habit,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
denounce,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
deplane,2,21,1,0,0,0,0.954545455,0.045454545,0,0,0
denture,2,0,19,3,0,0,0,0.863636364,0.136363636,0,0
custom,2,4,16,2,0,0,0.181818182,0.727272727,0.090909091,0,0
devolve,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
devil,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
diamond,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
devote,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
device,1,21,0,0,0,1,0.954545455,0,0,0,0.045454545
picket,1,8,14,0,0,0,0.363636364,0.636363636,0,0,0
assume,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
detest,1,22,0,0,0,0,1,0,0,0,0
despot,2,4,17,0,0,1,0.181818182,0.772727273,0,0,0.045454545
fishhook,2,2,19,1,0,0,0.090909091,0.863636364,0.045454545,0,0
welfare,2,0,21,0,0,1,0,0.954545455,0,0,0.045454545
finding,2,0,12,10,0,0,0,0.545454545,0.454545455,0,0
firstling,4,1,6,5,10,0,0.045454545,0.272727273,0.227272727,0.454545455,0
courthouse,3,0,1,21,0,0,0,0.045454545,0.954545455,0,0
final,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
trollop,1,12,10,0,0,0,0.545454545,0.454545455,0,0,0
ferry,1,11,11,0,0,0,0.5,0.5,0,0,0
filly,1,9,13,0,0,0,0.409090909,0.590909091,0,0,0
fillip,1,5,17,0,0,0,0.227272727,0.772727273,0,0,0
outgrow,3,2,19,1,0,0,0.090909091,0.863636364,0.045454545,0,0
jiffy,1,12,10,0,0,0,0.545454545,0.454545455,0,0,0
miscall,2,0,22,0,0,0,0,1,0,0,0
hyssop,1,10,12,0,0,0,0.454545455,0.545454545,0,0,0
