Cluster,Syllabification,Prop Responses,Prediction,Difference,
,,,,,
M P,,,,,
,,,,0,
,.R K,0.006352343,0,0.006352343,
,,,,0,
,R.K,0.877531526,0.822519359,0.055012167,
,,,,0,
,R K.,0.109468016,0.177480641,-0.068012624,
,,,,0,
,?.?,0.006648114,,0.006648114,
,,,,0,
N D M,,,,0,
,,,,0,
,.N D M,0.010869565,0,0.010869565,
,,,,0,
,N.D M,0.157756917,0,0.157756917,
,,,,0,
,N D.M,0.831373518,1,-0.168626482,
,,,,0,
,N D M.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
M Z D,,,,0,
,,,,0,
,.M Z D,0,0,0,
,,,,0,
,M.Z D,0.2,0,0.2,
,,,,0,
,M Z.D,0.8,0,0.8,
,,,,0,
,M Z D.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N P,,,,0,
,,,,0,
,.N P,0.01,0,0.01,
,,,,0,
,N.P,0.799057971,1,-0.200942029,
,,,,0,
,N P.,0.182608696,0,0.182608696,
,,,,0,
,?.?,0.008333333,,0.008333333,
,,,,0,
K N,,,,0,
,,,,0,
,.K N,0.046691404,0,0.046691404,
,,,,0,
,K.N,0.940012369,1,-0.059987631,
,,,,0,
,K N.,0.006802721,0,0.006802721,
,,,,0,
,?.?,0.006493506,,0.006493506,
,,,,0,
N HH,,,,0,
,,,,0,
,.N HH,0,0,0,
,,,,0,
,N.HH,1,1,0,
,,,,0,
,N HH.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
F HH,,,,0,
,,,,0,
,.F HH,0,0,0,
,,,,0,
,F.HH,1,1,0,
,,,,0,
,F HH.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
NG G,,,,0,
,,,,0,
,.NG G,0.031419788,0,0.031419788,
,,,,0,
,NG.G,0.902174501,1,-0.097825499,
,,,,0,
,NG G.,0.058649578,0,0.058649578,
,,,,0,
,?.?,0.007756133,,0.007756133,
,,,,0,
NG K CH,,,,0,
,,,,0,
,.NG K CH,0,0,0,
,,,,0,
,NG.K CH,0.248484848,0,0.248484848,
,,,,0,
,NG K.CH,0.721212122,1,-0.278787878,
,,,,0,
,NG K CH.,0.015151515,0,0.015151515,
,,,,0,
,?.?,0.015151515,,0.015151515,
,,,,0,
B L,,,,0,
,,,,0,
,.B L,0.558760421,0.849530019,-0.290769598,
,,,,0,
,B.L,0.425161922,0.150469981,0.274691942,"morphology, e.g. problem"
,,,,0,
,B L.,0.016077656,0,0.016077656,
,,,,0,
,?.?,0,,0,
,,,,0,
F R,,,,0,
,,,,0,
,.F R,0.676811594,0.790024731,-0.113213137,
,,,,0,
,F.R,0.312318841,0.209975269,0.102343572,
,,,,0,
,F R.,0.010869565,0,0.010869565,
,,,,0,
,?.?,0,,0,
,,,,0,
N TH,,,,0,
,,,,0,
,.N TH,0.014492754,0,0.014492754,
,,,,0,
,N.TH,0.891442374,0.679279175,0.212163199,
,,,,0,
,N TH.,0.094064872,0.320720825,-0.226655953,
,,,,0,
,?.?,0,,0,
,,,,0,
N D R,,,,0,
,,,,0,
,.N D R,0.009761905,0,0.009761905,
,,,,0,
,N.D R,0.803766234,0.551744973,0.252021261,
,,,,0,
,N D.R,0.173230755,0.448255027,-0.275024272,
,,,,0,
,N D R.,0.008695652,0,0.008695652,
,,,,0,
,?.?,0.004545454,,0.004545454,
,,,,0,
R W,,,,0,
,,,,0,
,.R W,0.011363636,0,0.011363636,
,,,,0,
,R.W,0.988636364,1,-0.011363636,
,,,,0,
,R W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
P T,,,,0,
,,,,0,
,.P T,0.064139418,0,0.064139418,
,,,,0,
,P.T,0.906703968,0.512871287,0.393832681,
,,,,0,
,P T.,0.029156614,0.487128713,-0.457972099,
,,,,0,
,?.?,0,,0,
,,,,0,
N G,,,,0,
,,,,0,
,.N G,0.05,0,0.05,
,,,,0,
,N.G,0.95,1,-0.05,
,,,,0,
,N G.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N S P,,,,0,
,,,,0,
,.N S P,0.010869565,0,0.010869565,
,,,,0,
,N.S P,0.567737154,0.502964572,0.064772583,
,,,,0,
,N S.P,0.408893281,0.497035428,-0.088142148,
,,,,0,
,N S P.,0,0,0,
,,,,0,
,?.?,0.0125,,0.0125,
,,,,0,
S T K,,,,0,
,,,,0,
,.S T K,0,0,0,
,,,,0,
,S.T K,0.15,0,0.15,
,,,,0,
,S T.K,0.85,1,-0.15,
,,,,0,
,S T K.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N K,,,,0,
,,,,0,
,.N K,0.013241107,0,0.013241107,
,,,,0,
,N.K,0.882608696,1,-0.117391304,
,,,,0,
,N K.,0.104150198,0,0.104150198,
,,,,0,
,?.?,0,,0,
,,,,0,
L T,,,,0,
,,,,0,
,.L T,0.008410973,0,0.008410973,
,,,,0,
,L.T,0.935735166,0.848427004,0.087308162,
,,,,0,
,L T.,0.055853861,0.151572996,-0.095719135,
,,,,0,
,?.?,0,,0,
,,,,0,
N S T,,,,0,
,,,,0,
,.N S T,0.012413805,0,0.012413805,
,,,,0,
,N.S T,0.878815684,0.719641548,0.159174136,
,,,,0,
,N S.T,0.071332324,0.2643788,-0.193046476,
,,,,0,
,N S T.,0.037438188,0.015979652,0.021458535,
,,,,0,
,?.?,0,,0,
,,,,0,
L D,,,,0,
,,,,0,
,.L D,0.013655185,0,0.013655185,
,,,,0,
,L.D,0.79250894,0.928288711,-0.13577977,
,,,,0,
,L D.,0.193835874,0.071711289,0.122124585,
,,,,0,
,?.?,0,,0,
,,,,0,
L CH,,,,0,
,,,,0,
,.L CH,0,0,0,
,,,,0,
,L.CH,0.80952381,0.907803342,-0.098279532,
,,,,0,
,L CH.,0.19047619,0.092196658,0.098279532,
,,,,0,
,?.?,0,,0,
,,,,0,
F T,,,,0,
,,,,0,
,.F T,0.097248601,0,0.097248601,
,,,,0,
,F.T,0.773274815,0.360623782,0.412651033,
,,,,0,
,F T.,0.129476584,0.639376218,-0.509899634,
,,,,0,
,?.?,0,,0,
,,,,0,
R L,,,,0,
,,,,0,
,.R L,0.003344482,0,0.003344482,
,,,,0,
,R.L,0.961828027,0.947374176,0.014453851,
,,,,0,
,R L.,0.031330988,0.052625824,-0.021294836,
,,,,0,
,?.?,0.003496503,,0.003496503,
,,,,0,
R N Y,,,,0,
,,,,0,
,.R N Y,0,0,0,
,,,,0,
,R.N Y,0.428571429,0,0.428571429,
,,,,0,
,R N.Y,0.428571429,1,-0.571428571,
,,,,0,
,R N Y.,0.047619048,0,0.047619048,
,,,,0,
,?.?,0.095238095,,0.095238095,
,,,,0,
B Y,,,,0,
,,,,0,
,.B Y,0.835921325,0.793638908,0.042282417,
,,,,0,
,B.Y,0.142339545,0.206361092,-0.064021548,
,,,,0,
,B Y.,0.010869565,0,0.010869565,
,,,,0,
,?.?,0.010869565,,0.010869565,
,,,,0,
N G R,,,,0,
,,,,0,
,.N G R,0.045454546,0,0.045454546,
,,,,0,
,N.G R,0.884199135,1,-0.115800866,
,,,,0,
,N G.R,0.047619048,0,0.047619048,
,,,,0,
,N G R.,0,0,0,
,,,,0,
,?.?,0.022727273,,0.022727273,
,,,,0,
B S,,,,0,
,,,,0,
,.B S,0.031024531,0,0.031024531,
,,,,0,
,B.S,0.938431939,1,-0.061568061,
,,,,0,
,B S.,0.03054353,0,0.03054353,
,,,,0,
,?.?,0,,0,
,,,,0,
F L,,,,0,
,,,,0,
,.F L,0.545240919,0.894345867,-0.349104949,
,,,,0,
,F.L,0.432255317,0.105654133,0.326601184,"morphology, e.g. problem"
,,,,0,
,F L.,0.022503764,0,0.022503764,
,,,,0,
,?.?,0,,0,
,,,,0,
M B R,,,,0,
,,,,0,
,.M B R,0,0,0,
,,,,0,
,M.B R,0.904761905,1,-0.095238095,
,,,,0,
,M B.R,0.095238095,0,0.095238095,
,,,,0,
,M B R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N S T R,,,,0,
,,,,0,
,.N S T R,0.015182885,0,0.015182885,
,,,,0,
,N.S T R,0.865726363,0.679892603,0.18583376,
,,,,0,
,N S.T R,0.111844376,0.306649836,-0.194805461,
,,,,0,
,N S T.R,0.007246377,0.013457561,-0.006211184,
,,,,0,
,?.?,0,,0,
,,,,0,
R V,,,,0,
,,,,0,
,.R V,0,0,0,
,,,,0,
,R.V,0.953957275,0.943751286,0.010205989,
,,,,0,
,R V.,0.046042725,0.056248714,-0.010205989,
,,,,0,
,?.?,0,,0,
,,,,0,
